ID	char	pua	romanized	symbol
SD-A4EC	木	U+1044EC	ṭhe	
SD-A4F0	毋	U+1044F0	ṭhaṃ	
SD-A4F1	比	U+1044F1	ṭhaḥ	
SD-A4F2	毛	U+1044F2	ḍa	
SD-A4F3	氏	U+1044F3	ḍā	
SD-A4F4	水	U+1044F4	ḍi	
SD-A4F6	爪	U+1044F6	ḍu	
SD-A4F7	父	U+1044F7	ḍū	
SD-A4F8	爻	U+1044F8	ḍe	
SD-A4F9	片	U+1044F9	ḍai	
SD-A4FA	牙	U+1044FA	ḍo	
SD-A4FC	犬	U+1044FC	ḍaṃ	
SD-A4FD	王	U+1044FD	ḍaḥ	
SD-A4FE	丙	U+1044FE	ḍha	
SD-A540	世	U+104540	ḍhā	
SD-A541	丕	U+104541	ḍhi	
SD-A545	乍	U+104545	ḍhe	
SD-A547	乎	U+104547	ḍho	
SD-A549	付	U+104549	ḍhaṃ	
SD-A54A	仔	U+10454A	ḍhaḥ	
SD-A54B	仕	U+10454B	ṇa	
SD-A54C	他	U+10454C	ṇā	
SD-A54D	仗	U+10454D	ṇi	
SD-A54E	代	U+10454E	ṇī	
SD-A54F	令	U+10454F	ṇu	
SD-A550	仙	U+104550	ṇū	
SD-A551	仞	U+104551	ṇe	
SD-A552	充	U+104552	ṇai	
SD-A553	兄	U+104553	ṇo	
SD-A555	冊	U+104555	ṇaṃ	
SD-A556	冬	U+104556	ṇaḥ	
SD-A557	凹	U+104557	ta	
SD-A558	出	U+104558	tā	
SD-A559	凸	U+104559	ti	
SD-A55A	刊	U+10455A	tī	
SD-A55B	加	U+10455B	tu	
SD-A55C	功	U+10455C	tū	
SD-A55D	包	U+10455D	te	
SD-A55E	匆	U+10455E	tai	
SD-A55F	北	U+10455F	to	
SD-A561	仟	U+104561	taṃ	
SD-A562	半	U+104562	taḥ	
SD-A563	卉	U+104563	tha	
SD-A564	卡	U+104564	thā	
SD-A565	占	U+104565	thi	
SD-A566	卯	U+104566	thī	
SD-A569	可	U+104569	the	
SD-A56B	右	U+10456B	tho	
SD-A56D	叮	U+10456D	thaṃ	
SD-A56E	叩	U+10456E	thaḥ	
SD-A56F	叨	U+10456F	da	
SD-A570	叼	U+104570	dā	
SD-A571	司	U+104571	di	
SD-A572	叵	U+104572	dī	
SD-A573	叫	U+104573	du	
SD-A574	另	U+104574	dū	
SD-A575	只	U+104575	de	
SD-A576	史	U+104576	dai	
SD-A577	叱	U+104577	do	
SD-A578	台	U+104578	dau	
SD-A579	句	U+104579	daṃ	
SD-A57A	叭	U+10457A	daḥ	
SD-A57B	叻	U+10457B	dha	
SD-A57C	四	U+10457C	dhā	
