ID	unicode	uni_char	norm_unicode	norm_uni_char	composition	norm_big5_char	moe_variant_id
CB16937					[阿-可+尨]		
CB16938					[袖-由+毳]		
CB16939					[愍-民+幸]		
CB16940					[麩-夫+薛]		
CB16941					[學-子+車]		
CB16942	27C1D	𧰝			[懿-心+皿]		
CB16943					[(ㄙ/月)*頁]		
CB16944					[(一/韋)*否]		
CB16945					[(乂/木)*武]		
CB16946	4F40	佀			[仁-二+(耜-耒)]	似	a00120-001
CB16947	21A1D	𡨝			[宋-木+(火/夕)]	叟	a00477-017
CB16948					[債-貝+(雋-隹)]		
CB16949					[琬-(夗-夕)+匕]	琬	b02628-001
CB16950					[卄/(師-(白-日))]		c11777-001
CB16951					[這-言+(千-┬+丁)]		
CB16952	27FC9	𧿉			[跳-兆+(百-日+ㄎ)]	趶	c13868-001
CB16953					[(並-(前-刖)+一)/隹]		
CB16954					[口*(專-寸+(犮-、))*ㄆ]		
CB16955					[(厂-一)*(?/比/?)]		
CB16956					[?*支]		
CB16957					[?*雲]		
CB16958					[口*叉]		
CB16959					[口*阜]		
CB16960	20DC9	𠷉			[口*迦]		c01299
CB16961					[口*烹]		
CB16962					[口*罷]		
CB16963					[女*虫]		
CB16964					[日*匈]		
CB16965					[日*參]		
CB16966					[日*寧]		
CB16967					[日/拆]	鼎	a04785-044
CB16968					[月*常]		
CB16969	3B73	㭳			[木*孝]		
CB16970	6AFE	櫾			[木*繇]	柚	a01904-001,c05582
CB16971	3DCE	㷎			[火*曷]	暍	b01569-002
CB16972	279B2	𧦲			[加/言]		
CB16973	9755	靕			[正*青]		c15711-001
CB16974					[瓜*生]		
CB16975	24F4C	𤽌			[白*巿]		c11210-001,c08089
CB16976	25196	𥆖			[目*豆]		c08449-001,c12908-001
CB16977					[目*栗]		
CB16978					[矢*曷]		
CB16979					[各*寧]		
CB16980					[至*力]		
CB16981					[至*奉]		
CB16982					[虫*螢]		
CB16983	2754D	𧕍			[虫*營]		c12535
CB16984	27A34	𧨴			[言*事]		c13157
CB16985					[谷*谷]		
CB16986					[身*樂]		
CB16987	4849	䡉			[車*亢]		c14177
CB16988	283BF	𨎿			[車*雷]	轠	b05056-002
CB16989					[侃/心]		
CB16990	28D8F	𨶏			[門@缺]		
CB16991	2A0ED	𪃭			[客*鳥]		
CB16992					[番*郁]		
CB16993	5746	坆			[墩-享]		a00814-006,a01947-007
CB16994	3552	㕒			[厂@義]		c00947
CB16995	24586	𤖆			[爿*戔]		c10554-001
CB16996					[嶭/示]		
CB16997					[打-丁+?]		
CB16998					[褎-禾+?]		
CB16999					[?*(?/衣)]		
CB17000					[卄/大/車]	輂	b05015-001
CB17001	20393	𠎓			[仁-二+閔]	役	a01277-018
CB17002	22C33	𢰳			[打-丁+要]		
CB17003					[旭-日+百]		
CB17004	72B9	犹			[狂-王+尤]		a02529-001,c07160
CB17005	72D3	狓			[狂-王+皮]		c07184
CB17006	9625	阥			[阿-可+水]	陰	a04425-004
CB17007	27BE5	𧯥			[哉-口+豆]		c13383
CB17008					[待-寸+又]		
CB17009					[娟-口+日]		
CB17010	242A2	𤊢			[得-彳+火]		
CB17011			26C64	𦱤	[莫-大+廾]	莫	a03486-019
CB17012	2775E	𧝞			[袖-由+幾]		
CB17013	902A	逪			[這-言+昔]	錯	a04310-008
CB17014					[絕-糸+弓]		
CB17015					[絕-糸+方]	施	
CB17016	3BB1	㮱			[楛-古+先]		c05305
CB17017					[塵-土+角]		
CB17018			3A16	㨖	[敲-高+挃]		c04301-002
CB17019					[撥-殳+弓]		
CB17020	29C9D	𩲝			[魅-未+分]	魅	a04686-014
CB17021	29CF8	𩳸			[魅-未+苗]		c17114
CB17022					[魅-未+雷]		c17149-005
CB17023					[瞿-隹+安]	嬰	a00977-006
CB17024					[倞-口+日]		
CB17025			6B54	歔	[歑-乎+丘]		
CB17026					[鋄-火+公]		
CB17027					[謈-言+日]		
CB17028	414A	䅊			[穬-黃+乇]		c09063
CB17029					[?*(一/巾)]		
CB17030					[尸@(?/乙)]		
CB17031					[(止/示)*頁]	穎	a02945-008
CB17032	21DA8	𡶨			[山*(厂@干)]	岸	a01108-002
CB17033					[田*(丁-一)]		
CB17034					[(光-儿+?)*?]		
CB17035					[塵-土+(?*矢)]	麝	a04758-004
CB17036					[〦/(孿-子+十)]		
CB17037					[口*(椔-田+夕)]		
CB17038					[口*(鯬-魚+木)]		
CB17039					[巾*(恙-心+皿)]	蓋	a03541-014
CB17040					[示*(后-口+巾)]		
CB17041			256BD	𥚽	[示*(囟-乂+古)]	禍	a02902-013
CB17042					[俑-(、/用)+木]	保	a00155-019
CB17043					[楛-古+(太/皿)]		
CB17044					[寢-爿+(攸-ㄆ)]		
CB17045					[綜-示+(ㄙ/月)]		
CB17046					[緞-几+(巨-匚)]		a03157-001
CB17047					[旲/(衣-〦+旦)]		
CB17048					[口*(纜-(罩-卓))]		
CB17049					[木*(亦-(白-日))]		
CB17050					[?*(冘-(乳-孚)+?)]		
CB17051					[褎-禾+(木-十+子)]	褒	
CB17052					[口*(上/矢)*(入/米)]		
CB17053					[打-丁+((ㄇ@人)/圭)]		
CB17054					[怡-台+(屬-(厂-一))]		
CB17055					[涌-(十/十)+(羌-儿)]	涵	
CB17056					[描-田+((ㄇ@人)/戍)]		
CB17057					[(厂@((既-旡)-日+口))*支]		
CB17058					[(厂@((既-旡)-日+口))*殳]		
CB17060					[└*├]		
CB17061	772A	眪			[目*丙]		c08284
CB17062					[示*通]		
CB17063	25986	𥦆			[穴/投]		a01032-025
CB17064	46F9	䛹			[言*彖]		c13203
CB17065					[貝*乞]		
CB17066					[貝*令]		
CB17067					[肯*戈]		
CB17068	41A9	䆩			[窅/大]	冥	a00306-005_1
CB17069	26EB4	𦺴			[萑/木]		c11912
CB17070					[怡-台+竟]		
CB17071					[竺-二+遺]		
CB17072					[涼-小+田]		
CB17073					[莽-犬+敞]		a03548-009
CB17074	284FF	𨓿			[這-言+非]		
CB17075					[瞄-田+奔]		
CB17076					[(上/脊)*殳]		
CB17077					[卄/(夕*?)/土]		
CB17078					[月*(?/口/用)]		
CB17079					[髟/?/(人*人)]		
CB17080					[(咒-几+卓)*斤]		
CB17081					[券-刀+(恭-共)]		
CB17082	25DCB	𥷋			[竺-二+(單*斤)]	蘄	b04165-007
CB17083			2859A	𨖚	[這-言+(杳/小)]	遼	a04187-017
CB17084					[戢-耳+(└/日)]	戢	
CB17085					[聲-耳+(歹*尹)]		
CB17086					[虍-七+(土/用)]		a01215-004
CB17087					[彧-口+(一/口)]	彧	
CB17088					[利-禾+(咒-几+合)]		
CB17089					[惚-勿+(句-口+ㄆ)]		
CB17090					[槤-車+(乞-乙+小)]		
CB17091					[窱-(ㄆ/木)+(唚-口)]		
CB17092					[歹*(((巨-匚)@十)/(丁-一))]		
CB17093					[?﹋]		
CB17094					[〦/糸]		
CB17095					[卄/匕]		
CB17096	2129C	𡊜			[土*古]		
CB17097					[工*兄]		
CB17098	223B8	𢎸			[弓*互]	弤	b01008-001
