ID	unicode	uni_char	norm_unicode	norm_uni_char	composition	norm_big5_char	moe_variant_id
CB05903	25A0A	𥨊			[寢-(宋-木)+穴]	寢	a01048-004
CB05904					[旖-大+(立-一)]	旖	a01769-001
CB05905					[蓋-去+(大/ㄙ)]		
CB05906					[擎-乂+(厂-一)]	擎	a01689-003
CB05907	3D6B	㵫			[涾-水+(孱-尸)]		c06472
CB05908					[滻-文+(立-一)]	滻	b02233-001
CB05909					[澂-乂+(厂-一)]		
CB05910					[橠-多+(口/一)]		
CB05911					[覶-(ㄙ/又)+土]		
CB05912	21853	𡡓			[((彰-章)/女)*頁]	嬃	b00710-001
CB05913	274A2	𧒢			[虱-(乏-之+虫)+蟲]	蝨	a03662-003
CB05914					[慌-芒+口]		
CB05915			5D2A	崪	[山*(〦/(坐-土+十))]	崒	
CB05916			23A1B	𣨛	[歹*(〦/(坐-土+十))]		
CB05917					[火*(敻-人+(〡*〡))]		
CB05918					[王*(普-(美-王-大))]		
CB05919					[言*(日/(句-口+匕))]	謁	a03867-001
CB05920					[這-言+((立-〦)/木)]		
CB05921	2DFE4	𭿤			[目*(夾/(暴-(日/共)))]		
CB05923					[蒠-心+(冗-几+(止*(ㄇ/又)))]		
CB05924					[○@乙]		
CB05925	8310	茐			[卄/匆]		
CB05926	2E48C	𮒌			[卄/滲]		
CB05927					[匕/且]		
CB05928	35A4	㖤			[口*函]		c01230
CB05929	20D35	𠴵			[口*帚]		a00695-002,c01211
CB05930	20D5C	𠵜			[口*罔]		
CB05931	3593	㖓			[口*夆]		c01179
CB05932	212A8	𡊨			[土*玄]		a00819-011,a03200-011
CB05933					[土*吳]		
CB05934					[土*基]		
CB05935	5884	墄			[土*戚]		c01798
CB05936	707B	灻			[土/火]	赤	a03984-003
CB05937	36F1	㛱			[女*畏]		c02227
CB05938	5CBE	岾			[山*占]		
CB05939	21F20	𡼠			[山*幾]		
CB05940	5D5B	嵛			[山/俞]		c02865
CB05941	223AA	𢎪			[弓*几]		a01248-004,c03406
CB05942	2D6A7	𭚧			[弓*殳]		
CB05943	4C1F	䰟			[云/鬼]	魂	a04685-001
CB05944	4CB6	䲶			[元/鳥]		
CB05945	65FE	旾			[屯/日]	春	a01787-001
CB05946	3AC6	㫆			[方*尒]		
CB05947	23180	𣆀			[日*冉]		c04958-001
CB05948					[日*式]		
CB05949					[日*冓]		
CB05950	662A	昪			[日/弁]		c04818
CB05951			3AE4	㫤	[日/永]	昶	b01532-001
CB05952	232A1	𣊡			[日/絲]		c04895-001
CB05953	232F7	𣋷			[日/廣]	曠	a01827-002
CB05954	4439	䐹			[月*肅]		b06017-003,c11160-001,c11085-001
CB05955	680D	栍			[木*生]		
CB05956	6901	椁			[木*享]	槨	a02007-003
CB05957	6927	椧			[木*命]		
CB05958	3B7E	㭾			[木*屈]		c05178
CB05959	6967	楧			[木*英]	柍	b01657-001
CB05960	6A2D	樭			[木*基]		
CB05961	2DB2A	𭬪			[木*戰]		
CB05962	3C0E	㰎			[木*嶲]	檇	b01868-001
CB05963	3C53	㱓			[止*令]		
CB05964					[歹*里]		
CB05965	6788	枈			[比/木]		c05021,a01879-001
CB05966	7553	畓			[水/田]		
CB05967	241C5	𤇅			[火*且]		
CB05968	3DDD	㷝			[火*突]		
CB05969	71BA	熺			[火*喜]	熹	a02446-002
CB05970	244DD	𤓝			[火*蘥]		b02453-003,b03038-001
CB05971					[王*反]		
CB05972	24906	𤤆			[王*斤]		
CB05973	73CF	珏			[王*玉]	玨	a02556-006
CB05974	73E6	珦			[王*向]		c07420
CB05975	3ECB	㻋			[王*束]		c07472-001,c07516-003_1
CB05976					[王*函]		
CB05977	7438	琸			[王*卓]		c07458
CB05978	7468	瑨			[王*晉]		c07525-001
CB05979	74D0	瓐			[王*盧]		c07560
CB05980	5B60	孠			[司/子]	嗣	a00653-001
CB05981	9D16	鴖			[民*鳥]		a03617-010
CB05982	2DBFC	𭯼			[永/土]		
CB05983	4CBB	䲻			[玄*鳥]		c17532
CB05984	756E	畮			[田*每]	畝	a02642-002
CB05985	24CAC	𤲬			[田*耎]		c07773
CB05986	6540	敀			[白*ㄆ]		c04573,a04126-003
CB05987	3FE8	㿨			[白*歷]		c08125-001
CB05988	7730	眰			[目*至]		b02860-003,c12869-001,c08311
CB05989			4046	䁆	[目*(電-雨+大)]		
CB05990	40CB	䃋			[石*俞]		c08827
CB05991					[示*分]		
CB05992			79A5	禥	[示*基]	祺	a02897-009
CB05993			25725	𥜥	[示*冀]	祀	
CB05994					[禾*貞]	禎	a02900-005
CB05995	25946	𥥆			[穴/幻]	窈	a02960-006
CB05996	41C4	䇄			[立*乞]		
CB05997	518B	冋			[同-一]	坰	b00509-005
CB05998	25F8D	𥾍			[糸*干]		c12601-001
CB05999	25FCA	𥿊			[糸*斥]		c10208
CB06000	42F4	䋴			[糸*柔]		c10292
CB06001	7E27	縧			[糸*條]	絛	b03380-004
CB06002	7D97	綗			[糸*冏]		b03348-003,c10252-001
CB06003					[糸*昜]		
CB06004	7F93	羓			[羊*巴]		c10534
CB06005					[羽*申]		
CB06006	2E38C	𮎌			[舟*自]		
CB06007	27307	𧌇			[虫*朋]		c12337
CB06008	27917	𧤗			[角*耑]		c12988
CB06009	2E5F8	𮗸			[言*几]		a03888-001,c13020-006
CB06010	2E600	𮘀			[言*末]		
CB06011	8A78	詸			[言*米]	謎	a03871-001
CB06012	279F6	𧧶			[言*余]		c13141
CB06013	27B08	𧬈			[言*翕]		c13285
CB06014	27A1D	𧨝			[言*冏]	詗	b04649-001
CB06015	4003	䀃			[豕/皿]		c08205
CB06016	2E67C	𮙼			[貝*付]	賦	a03963-017
CB06017	917B	酻			[酉*孚]		c14740,a02210-004_1
CB06018					[酉*孛]		
CB06019	2D12C	𭄬			[幸*力]		
CB06020	393C	㤼			[怯*力]	怯	a01322-003_1
CB06021	7439	琹			[玨/木]	琴	a02583-002
CB06022	2E418	𮐘			[芝/耳]		
CB06023	28A23	𨨣			[金*具]		
CB06024	28D48	𨵈			[門@非]		c15321,c15321-001,a01494-004,a04398-028
CB06025	28D6E	𨵮			[門@重]		c15334,c15334-001
CB06026					[門@祝]		
CB06027	29166	𩅦			[雨/單]		c15663
CB06028	213C5	𡏅			[郎/土]		
CB06029	2A0EC	𪃬			[酋*鳥]	鵪	a04737-011_1
CB06030	2EB4D	𮭍			[宴*鳥]		
CB06031					[益*力]		
CB06032	2639F	𦎟			[羔/火]	羹	a03229-018
CB06033					[郡-口]	那	
CB06034	9A10	騐			[馬*念]	驗	a04652-001
CB06035	4B90	䮐			[馬*冏]	駉	b05786-002
CB06036	2D4B0	𭒰			[婁*姿]		
CB06037	9B8C	鮌			[魚*玄]	鯀	b05975-003
CB06038	2A01A	𪀚			[鳥*戎]		c17551
CB06039			9E95	麕	[鹿/囷]	麇	b06217-003
CB06040	9EAF	麯			[麥*曲]	麴	
CB06041	2EB82	𮮂			[麥*薛]		
CB06042	567D	噽			[喜*丕]	嚭	b00461-002
CB06043	3CC4	㳄			[盜-皿]		a02214-002,a02053-006
CB06044	2E171	𮅱			[筑/心]		
CB06045	89B8	覸			[間*見]		c12926-003
CB06046	21049	𡁉			[嗎/中]		c01493,c01506-001
CB06047	5F61	彡			[彰-章]		c03479
CB06048	2DC14	𭰔			[漓-禸]		
CB06049	6544	敄			[騖-馬]		c04567
CB06050					[匚@千]	匡	
CB06051					[匚@干]	匡	a00419-003
CB06052	2D6EF	𭛯			[彳*青]		
CB06053	9D02	鴂			[夬*鳥]	鴃	b06053-002
CB06054	681E	栞			[幵/木]		n00038-001,a00334-002
CB06055	4760	䝠			[豸*原]	獂	b02554-001
CB06056	65E4	旤			[咼*旡]	禍	a02902-037
CB06057	76E0	盠			[彖/皿]		c08212
CB06058					[肂-、]		
CB06059	844A	葊			[荅/廾]	菴	a03505-001
CB06060	9AE4	髤			[髟/木]	髹	b05893-002
CB06061	27E35	𧸵			[賏/空]		
CB06062	28200	𨈀			[蹎*頁]		
CB06063	2919E	𩆞			[霝/田]		
CB06064	9FA5	龥			[龠*頁]	籲	a03055-002
CB06065			4C17	䰗	[鬮-龜+?]		
CB06066	4F03	伃			[仁-二+予]	妤	a00895-001
CB06067	4F37	伷			[仁-二+由]		c00107
CB06068	4FC6	俆			[仁-二+余]		c00165,a01290-002
CB06069	5034	倴			[仁-二+奔]		c00178
CB06070	20332	𠌲			[仁-二+斬]		c00264
CB06071	203BF	𠎿			[仁-二+解]		c00317
CB06072	205A5	𠖥			[冗-几+龍]		
CB06073					[尤-尢+乇]		
CB06074	23497	𣒗			[木*去*ㄗ]		
CB06075	2DB84	𭮄			[歹*ㄙ*ㄙ]		
CB06076					[打-丁+牒]		
CB06077	22A91	𢪑			[打-丁+旡]		a01673-015
CB06078	22E42	𢹂			[打-丁+嶲]	攜	a01709-005
CB06079	201EE	𠇮			[企-止+丙]	命	a00561-002
CB06080	51DF	凟			[冰-水+賣]	瀆	a02366-001
CB06081	2D0BA	𭂺			[夙-歹+熏]		
CB06082	4E90	亐			[百-日+ㄎ]	于	a00050-002
CB06083	207C2	𠟂			[利-禾+曾]		c00652
CB06084	23173	𣅳			[吳-口+日]	昃	b01530-001
CB06085					[宋-木+注]		
CB06086	5E99	庙			[序-予+由]	廟	a01228-004
CB06087	5EF8	廸			[廷-壬+由]	迪	a04123-002
CB06088					[狂-王+戌]		
CB06089					[狂-王+羽]		
CB06090	732C	猬			[狂-王+胃]	蝟	b04334-010
CB06091	2486C	𤡬			[狂-王+壹]	豷	b04795-001
CB06092	248B4	𤢴			[狂-王+樂]		b02570-002,c18435-001
CB06093	60E7	惧			[怡-台+具]	懼	a01462-001
CB06094	396C	㥬			[怡-台+旁]		c03829
CB06095					[怡-台+辟]		
CB06096	228F7	𢣷			[怡-台+翟]	懼	a01462-003
CB06097					[杵-十+匕]		
CB06098	23CD1	𣳑			[泳-永+申]		
CB06099	6D21	洡			[泳-永+耒]		c06150,c14562-004
CB06100			3D5B	㵛	[泳-永+善]		
CB06101	6FF8	濸			[泳-永+蒼]		
CB06102	3D95	㶕			[泳-永+簡]		c06606
CB06103	2E140	𮅀			[竺-二+切]		
CB06104	25BEA	𥯪			[竺-二+奏]		c09653
CB06105	2E165	𮅥			[竺-二+面]		
CB06106					[竺-二+惟]		
CB06107	25CA4	𥲤			[竺-二+虛]	虡	c09791,b04204-012
CB06108			7C36	簶	[竺-二+祿]		c09878
CB06109	4261	䉡			[竺-二+亶]		c09871
CB06110	2868D	𨚍			[邱-丘+比]	邶	b05121-001
CB06111	90AD	邭			[邱-丘+句]		c14544
CB06112	2E7FC	𮟼			[邱-丘+吝]		
CB06113	287CE	𨟎			[邱-丘+嶲]	酅	b05214-001
CB06114	38AE	㢮			[施-方+弓]	弛	a01250-002
CB06115					[炫-ㄙ+ㄥ]	炫	a02394-001
CB06116	21355	𡍕			[堉-月+木]	堞	b00553-001
CB06117	242E6	𤋦			[烈-列+秋]		c06784-002
CB06118			21E58	𡹘	[啟-口+山]		
CB06119	2E755	𮝕			[啟-口+車]		
CB06120	276CA	𧛊			[袖-由+昔]		
CB06121	4646	䙆			[袖-由+癸]		c12721
CB06122	2E5A6	𮖦			[袖-由+追]		
CB06123	897D	襽			[袖-由+蘭]	襴	b04580-001
CB06124	8FD8	还			[這-言+不]		a04191-002,a00010-024,a00518-006,a02210-006,a00803-011
CB06125					[這-言+苑]		
CB06126	8FC8	迈			[這-言+万]	邁	a04192-006
CB06127	500A	倊			[傯-囪+公]		c00193,a00234-004
CB06128	5F11	弑			[弒-朮+木]	弒	a01244-003
CB06129					[罩-卓+縜]		
CB06130	28043	𨁃			[跳-兆+弟]		c13934
CB06131	2820A	𨈊			[跳-兆+彎]		
CB06132	22F39	𢼹			[敲-高+甫]		c04593-001
CB06133	6571	敱			[敲-高+豈]		b01479-001
CB06134					[價-貝+天]		
CB06135					[嘹-口+彳]		
CB06136	2DE7E	𭹾			[璀-山+六]		
CB06137	23703	𣜃			[樵-隹+酋]	槱	b01817-005
CB06138	24073	𤁳			[濡-而+言]		c06534
CB06139	255AA	𥖪			[穫-禾+石]		c08912
CB06140	5F60	彠			[穫-禾+尋]		c03478
CB06141					[證-豆+示]		
CB06142	460D	䘍			[蠢-春+萬]	蠆	b04419-009
CB06143					[柜-匚+囗]		
CB06144					[洉-口+ㄒ]		
CB06145	27611	𧘑			[袀-二+、]		c12607
CB06146	2D888	𭢈			[搘-日+且]		
CB06147					[愨-一+土]		
CB06148	7449	瑉			[緡-糸+王]	玟	a02557-004
CB06149					[懨-猒+扁]		
CB06150	2E869	𮡩			[鎧-豆+十]		
CB06151					[(┤*├)/干]	羊	c11389,a03217-010_1,a03215-003,a02927-002_1
CB06152					[(上/矢)*烏]		
CB06153	2E2FD	𮋽			[(口*斬)/耳]		
CB06154	230C1	𣃁			[(尸@禹)*斤]	斸	c04745-001
CB06155	4857	䡗			[(工*凡)/車]		c14220
CB06156	23B96	𣮖			[(牙*ㄆ)/毛]		
CB06157	831D	茝			[卄/(姬-女)]		c11470
CB06158	2D578	𭕸			[尸@(林/呂)]		
CB06159	2D5C8	𭗈			[山*(老/目)]		
CB06160					[糸*(且/八)]		
CB06161					[番*(匕/匕)]		
CB06162	6C3A	氺			[暴-(日/共)]	水	a02124-002
CB06163					[土*(穴/?/ㄆ)]		
CB06164			76DD	盝	[盝-(彖-豕)+?]	盝	b02840-003
CB06165					[山/(乏-之+虫)]	蚩	a03621-006
CB06166	21E49	𡹉			[山/(敲-高+止)]		
CB06167			4BE2	䯢	[序-予+(林/骨)]		
CB06168					[怡-台+(由/卜)]		
CB06169	228BD	𢢽			[怡-台+(懇-心)]	懇	a01453-010
CB06170					[竺-二+(尃*几)]		
CB06171					[逅-口+巾]	遞	a04177-019
CB06172	2E9DA	𮧚			[革*(罩-卓+力)]		
CB06173	8987	覇			[栗-木+(革*月)]	霸	a04491-003
CB06174	3F9B	㾛			[病-丙+(唚-口)]		c07875
CB06175	222EB	𢋫			[廖-(彰-章)+貝]		
CB06176			3C84	㲄	[穀-(一/禾)+壬]	玨	a02556-003
CB06177					[褒-保+(罩-卓)]		
CB06178	2EA19	𮨙			[顓-而+(一/糸)]		
CB06179					[昍/(宋-木+生)]		
CB06180			67FA	柺	[柺-力+(万-一)]	枴	a01903-005
CB06181					[嘏-(巨-匚)+几]		
CB06182	2D9E2	𭧢			[橐-(石/木)+是]		
CB06183			24424	𤐤	[燋-隹+(臣*巳)]		
CB06184					[((中-〡)@〡)/品]		
CB06185	2D12E	𭄮			[(牙*又)/(厂@力)]		
CB06186					[口*((上/示)*聿)]		
CB06187	6A7B	橻			[木*(丑/(丑*丑))]		
CB06188					[利-禾+(亢-几+儿)]		
CB06189	2D685	𭚅			[序-予+(樊-大+女)]		
CB06190	2D71E	𭜞			[怡-台+(乏-之+友)]		
CB06191					[傯-囪+(句-口+夕)]		
CB06192					[聰-囪+(句-口+夕)]	聰	
CB06193					[穫-禾+(尋-口+几)]		
CB06194					[醢-右+(乞-乙+口)]		
CB06195	26689	𦚉			[((嘹-口)-小)-日+月]	慎	a01408-007
CB06197	2E2CF	𮋏			[(罩-卓+(一/水))*羽]		
CB06198			666C	晬	[日*(〦/(坐-土+十))]		
CB06199					[亦-〦+(並-(前-刖))]		
CB06200					[革*(卄/(ㄇ@儿)/戍)]		
CB06201					[書-曰+((口*口)/皿)]		
CB06202			3B9A	㮚	[桌-日+(ㄇ@(人/人))]	栗	a01920-008
CB06203					[褒-保+(八/(ㄠ-ㄙ))]	袞	a03716-019
CB06204	2D7FA	𭟺			[戩-(ㄙ*ㄙ)+(ㄠ*ㄠ)]		
CB06205			21FDA	𡿚	[山*(卄/(止*白*匕)/ㄆ)]		
CB06206					[來-(木-┴)+(來-┴+一)]		
CB06207	28A7C	𨩼			[錠-(完-兀)+(雪-雨+├)]		
CB06208	2E801	𮠁			[郫-卑+((白-日+田)/廾)]		
CB06209			2D110	𭄐	[((牙-才+木)*ㄆ)/(厂@刀)]		
CB06210	4453	䑓			[臺-吉+(其-(六-(〦-一)))]	臺	a03391-009
CB06211					[(采-木+ㄎ)*(后-口+(一/巾))]		
CB06212	2D0B6	𭂶			[了-(丁-一)+(夙-歹+(王/口))]		
CB06213	2DAE5	𭫥			[橋-(夭/口)+(友-又+(ㄇ@人))]		
CB06214					[((木-(企-止)+昍)/大)*毛]	氍	b01997-008
CB06215					[(凵@(暴-(日/共)))/(敲-高+壴)]		
CB06216	2D0CD	𭃍			[十/((坐-(人*人)+(刀*刀))-土+十)]		
CB06217	2DA42	𭩂			[月*(嵐-几)]		
CB06218					[言*(卄/執/云)]	囈	a00719-002
CB06219			982E	頮	[((暴-(日/共))/廾)*頁]		
CB06220	2D8C8	𭣈			[(口*(擊-手))/手]		
CB06221	2DF1A	𭼚			[病-丙+((句-口+夕)/心)]		
CB06222	9E8F	麏			[塵-土+君]	麇	
CB06223					[(麥-大+十)*戈]		
CB06224					[葶-丁+呆]		
CB06225	7753	睓			[目*典]		c03740-001
CB06226	3280	㊀			[○@一]		
CB06227	8281	芁			[卄/几]		c11386-002
CB06228	26BB0	𦮰			[卄/亦]	赫	a03987-012,a03984-006
CB06229					[卄/佳]		
CB06230	26DBF	𦶿			[卄/桑]	桑	a01922-009
CB06231	85B2	薲			[卄/賓]	蘋	a03596-001
CB06232	53FF	叿			[口*工]		c01002
CB06233	20E97	𠺗			[口*迷]		
CB06234	543A	吺			[口*殳]		a00705-001,c01036
CB06235	20E64	𠹤			[口*恚]		c01340
CB06236	577F	坿			[土*付]		a04410-001
CB06237	5840	塀			[土*屏]		
CB06238	216E0	𡛠			[女*去]		c02038
CB06239	3732	㜲			[女*嬴]	嬴	a00976-012
CB06240					[尸@串]		
CB06241			5D05	崅	[山*角]		
CB06242	21E23	𡸣			[山*兒]		b00864-003,n00196
CB06243	21E16	𡸖			[山*果]	嵬	b00865-006
CB06244	5D2F	崯			[山*金]	崟	b00839-004
CB06245	21EA1	𡺡			[山*盈]	盈	a02738-002
CB06246	37FD	㟽			[山*票]		c02901
CB06247	21EED	𡻭			[山/累]		b03031-004,c02943-002
CB06248	5DBB	嶻			[山/截]	巀	b00904-001
CB06249	21F57	𡽗			[山/僉]	嶮	
CB06250					[弓*咼]		
CB06251	3AEC	㫬			[日*旬]	昫	b01540-001
CB06252	231B4	𣆴			[日*延]		c04859
CB06253	2321E	𣈞			[日*空]		
CB06254	3B07	㬇			[日*奐]		c04874-001
CB06255	6895	梕			[木*忍]		c05015-001
CB06256	6AD6	櫖			[木*慮]		c05541
CB06257			6902	椂	[木*彔]		c05200
CB06258					[止/虛]		
CB06259	70B2	炲			[火*台]	炱	b02379-002
CB06260	726B	牫			[牛*戈]		a00094-001,a01475-002
CB06261					[牛*宅]		
CB06262					[王*刪]		
CB06263	7402	琂			[王*言]		c07427
CB06264	24A44	𤩄			[王*巽]		c07514
CB06265	24A99	𤪙			[王*爾]		
CB06266					[王*萑]		
CB06267					[白/本]		
CB06268	252D9	𥋙			[目*業]		c08537
CB06269	255C7	𥗇			[石*輦]	碾	a02859-004
CB06270					[示*多]	移	a02925-004
CB06271			25658	𥙘	[示*西]		
CB06272	2E08C	𮂌			[示*栗]		
CB06273					[示*貴]		
CB06274	257AA	𥞪			[禾*米]		a02920-003,a03056-002,c10022-006
CB06275	4163	䅣			[禾*皇]		n00222
CB06276	4166	䅦			[禾*苗]		c09146
CB06277	412F	䄯			[妍-女+禾]		c03221-004
CB06278	7A3A	稺			[禾*屖]	稚	a02932-002
CB06279	257AB	𥞫			[禾/米]		
CB06280	2E0FC	𮃼			[穴/臼]		
CB06281	259BD	𥦽			[穴/是]	寔	b00749-001
CB06282	259E1	𥧡			[穴/貢]		
CB06283					[穴/偶]		
CB06284					[米*遂]		
CB06285	25E62	𥹢			[米/耳]	聞	a03272-001
CB06286	2E311	𮌑			[肉*亥]		
CB06287					[虫*矢]		
CB06288	2E556	𮕖			[虫*彌]		
CB06289	351C	㔜			[孚*力]	勃	a00390-001
CB06290	294AE	𩒮			[求*頁]		b00072-001,c16136
CB06291	8A97	誗			[言*利]		c13136
CB06292	27A33	𧨳			[言*卓]		c13175
CB06293	8B34	謴			[言*貫]		c13241-001,c13289-001
CB06294	8A26	訦			[言*冘]		b04691-003,c13024
CB06296	28FDC	𨿜			[谷*隹]	鵒	b06090-005
CB06297					[貝*系]		
CB06298	28379	𨍹			[車*鬼]	輠	b05024-003,c14277
CB06299	3AF3	㫳			[辰/日]	晨	a01803-001
CB06300					[辰/目]		
CB06301	92E3	鋣			[金*邪]		c14862-001
CB06302					[金*感]		
CB06303	4961	䥡			[金*牒]		c15019-002,c15148
CB06304	28A20	𨨠			[金*匊]		
CB06305	28D59	𨵙			[門@具]	闃	b05505-006
CB06306	2E99B	𮦛			[雨/泳]		
CB06307	2912D	𩄭			[雨/悟]		c09344-001,c09373-003
CB06308	2D771	𭝱			[保/心]		
CB06309	27397	𧎗			[科/虫]	蝌	a03665-001
CB06310	6486	撆			[敝/手]	撇	a01649-001
CB06311	27AE3	𧫣			[敕/言]	速	a04141-001
CB06312	8FB6	辶			[這-言]		
CB06313	9BC2	鯂			[魚*酉]		a02947-005,c17265
CB06314	9C02	鰂			[魚*則]		n00479
CB06316	51F4	凴			[馮/几]	憑	a01443-003
CB06317					[馮/廾]		
CB06318					[黑*古]		
CB06319	2D69C	𭚜			[嗎/廾]		
CB06320					[褩-舟+(臼/工)]		c12802-001
CB06321	2EBC1	𮯁			[齒*斗]		
CB06322	2D7E1	𭟡			[燥/心]		
CB06324	29B06	𩬆			[髟/丐]	鬢	a04677-008
CB06325	29B73	𩭳			[髟/忽]		
CB06326	455E	䕞			[菛@良]		c12033,b03864-001
CB06327	3D91	㶑			[澰*欠]	瀲	b02354-001
CB06328	2A21D	𪈝			[霝*鳥]	鴒	a04727-001
CB06329	863D	蘽			[藟/木]		b04195-002,c12112
CB06330					[水-?+曲]		
CB06331					[仞-、]		
CB06332	4EFE	仾			[仁-二+互]	低	a00126-001
CB06333					[仁-二+幻]		
CB06334			349D	㒝	[仁-二+蔑]		c00339
CB06335	6257	扗			[打-丁+土]		a00743-001,a00833-009
CB06336	22B18	𢬘			[打-丁+色]	抱	a01546-006
CB06337	6419	搙			[打-丁+辱]		c04358
CB06338	2CF95	𬾕			[企-止+言]		
CB06339	51B4	冴			[冰-水+牙]	冱	b00208-002
CB06340	46AF	䚯			[利-禾+言]		a00491-013,a03787-001,c13013
CB06342	21A22	𡨢			[宋-木+居]		a01084-013,c13598-001,c02493
CB06343	2478C	𤞌			[狂-王+宅]		
CB06344	2479E	𤞞			[狂-王+谷]		c07216
CB06345	2489F	𤢟			[狂-王+睪]		
CB06346	3E9C	㺜			[狂-王+農]		c07336
CB06347			5FCB	忋	[怡-台+巳]		c03608-002
CB06348	5FF2	忲			[怡-台+太]	忕	b01046-002
CB06349	5FE7	忧			[怡-台+尤]		a01429-028,c03620
CB06350	3952	㥒			[怡-台+采]		a02524-001_1,c03743
CB06351	22804	𢠄			[怡-台+崇]		
CB06353	6D23	洣			[泳-永+米]		c06127
CB06354					[泳-永+到]		
CB06355	6E0F	渏			[泳-永+奇]	漪	a02320-003
CB06356	23FBA	𣾺			[泳-永+開]		
CB06357	24159	𤅙			[泳-永+嚴]		
CB06358	25AEB	𥫫			[竺-二+下]		a03013-009,b03200-008
CB06359	25BC0	𥯀			[竺-二+金]		
CB06360	4217	䈗			[竺-二+俊]		b03968-003,c09699
CB06361					[竺-二+遍]		
CB06362					[邱-丘+王]		b05143-002
CB06363	90CD	郍			[邱-丘+舟]		a04204-005,c14565
CB06364	2877D	𨝽			[邱-丘+雲]		
CB06365			963E	阾	[阿-可+令]	嶺	a01139-001
CB06366					[阿-可+帝]		
CB06367	28EB2	𨺲			[阿-可+禹]		
CB06368					[崁-土+音]		
CB06369	24E84	𤺄			[病-丙+童]		b02756-001,c08008
CB06371	8D9A	趚			[起-巳+束]		c13720-002,c13741
CB06372	47D0	䟐			[起-巳+歷]		c13855
CB06373					[飢-几+專]		
CB06374			6800	栀	[梔-巴+巳]	梔	a01948-001
CB06375	2760D	𧘍			[袖-由+工]		c12605
CB06376	27631	𧘱			[袖-由+比]		
CB06377	2E586	𮖆			[袖-由+希]		
CB06378	4645	䙅			[袖-由+要]		c12722
CB06379	2774B	𧝋			[袖-由+敦]		c12776
CB06380	28472	𨑲			[這-言+手]	廷	a01235-004
CB06381	2847E	𨑾			[這-言+水]	巡	a04116-004
CB06382	4896	䢖			[這-言+聿]		a01237-006,c14392
CB06383					[這-言+匿]		
CB06384	23B3C	𣬼			[毯-炎+皮]		b03561-002,c05959
CB06385					[暈-車+歧]		
CB06386	28C5E	𨱞			[肆-聿+毛]	髦	a04668-003
CB06387	47D5	䟕			[跳-兆+叉]		c13870
CB06388	28027	𨀧			[跳-兆+丞]		c13919
CB06389					[跳-兆+盍]		
CB06390	2D6D3	𭛓			[彰-章+用]		
CB06391	4AFF	䫿			[颱-台+召]		c16281
CB06392	71D3	燓			[樊-大+火]	焚	a02413-001
CB06394					[鋇-目+白]		
CB06395	7BCF	篏			[簌-束+甘]	嵌	a01132-003
CB06396					[醫-酉+金]	鑿	
CB06397	4D89	䶉			[鼬-由+留]		
CB06398					[葸-十+夕]		
CB06399	282A0	𨊠			[軛-厂]	軓	b04990-001
CB06400	56F1	囱			[囟-乂+夕]		a00728-003,a02964-030
CB06401	201FE	𠇾			[但-日+木]		a00095-002,a00081-002
CB06402	8054	联			[栚-木+耳]	聯	a03277-006
CB06403					[肱-月+舟]		
CB06404					[崛-出+雨]		
CB06405					[葖-犬+于]		
CB06406	8943	襃			[褎-禾+呆]	褒	a03745-031
CB06407			92D7	鋗	[鋗-口+ㄙ]		
CB06408	2A028	𪀨			[鴢-力+ㄠ]	鴉	a04722-002
CB06409					[山/(?*ㄆ)]		
CB06410					[(尸@未)*又]		
CB06411	7075	灵			[(雪-雨)/火]	靈	a04497-004
CB06412					[槴-邑+大]		
CB06413					[枳-口+宜]		
CB06414			70E3	烣	[火*(厂@火)]	恢	a01338-004
CB06416	290F0	𩃰			[雨/(湤-方)]		n00159-001
CB06417					[盾*(又/韭)]		
CB06418					[囗@(儿/口)]		b00484-003
CB06419					[山/屾/白/曰]		
CB06420					[鬟-(一/口)+?]		
CB06421					[(共-八+冉)*頁]		
CB06422					[(興-同+爻)/石]		
CB06424			24912	𤤒	[王*(犮-乂+又)]		c07391-001
CB06426					[米*(升-┬+下)]		
CB06427	2826F	𨉯			[身*(叟-又+ㄎ)]	聘	a03271-003
CB06429	25BA8	𥮨			[竺-二+(公/心)]		c09635
CB06430					[柩-久+(厂@臾)]		
CB06431	285FF	𨗿			[這-言+(豸*艮)]	邈	b05105-008
CB06432					[毯-炎+(夗/木)]		
CB06433	2DCF7	𭳷			[漠-旲+(糸*韭)]		
CB06434	482E	䠮			[跳-兆+(騰-月)]	騰	a04643-002
CB06435	21F40	𡽀			[嵕-凶+(鬯-匕)]	嵕	b00849-002
CB06436					[卄/((厂-一)*臣)]		
CB06437	2E86D	𮡭			[鑊-雈+(巨-匚)]		
CB06438	2D907	𭤇			[婺-女+(厂@女)]		
CB06439	2D8BF	𭢿			[打-丁+(隸-木+匕)]		
CB06440	25E26	𥸦			[虱-(乏-之+虫)+米]		
CB06442	2D117	𭄗			[剜-夗+(眉-目+貝)]		
CB06443					[跳-兆+(戀-心+火)]		
CB06444					[颱-台+(癸-天+虫)]		
CB06446					[((巨-匚)@一)/(工*几)/木]		
CB06447	2D6D7	𭛗			[(彰-章+(彰-章))/林]		
CB06448	2DC1D	𭰝			[泳-永+((厂-一)*臣)]	洍	b02098-004
CB06449					[崁-土+(立/(可-一))]	崎	a01124-003
